Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,componentnumber,strongcompnum,clustering
6,,,44,40,84,44,40,84,0,1115,0.112458
2,,,41,45,86,41,45,86,0,1115,0.091437
5,,,3,3,6,3,3,6,0,1115,1
1,,,226,215,441,226,215,441,0,1115,0.042372
15,,,13,15,28,13,15,28,0,1115,0.073529
4,,,54,63,117,54,63,117,0,1115,0.087138
3,,,21,0,21,21,0,21,0,5,0.140476
13,,,191,210,401,191,210,401,0,1115,0.038405
16,,,1,0,1,1,0,1,0,1111,0
10,,,5,8,13,5,8,13,0,1115,0.375
7,,,216,232,448,216,232,448,0,1115,0.024313
21,,,26,22,48,26,22,48,0,1115,0.088624
20,,,10,0,10,10,0,10,0,153,0.3
8,,,3,1,4,3,1,4,0,1115,1
17,,,19,26,45,19,26,45,0,1115,0.105911
23,,,26,18,44,26,18,44,0,1115,0.067734
25,,,113,0,113,113,0,113,0,13,0.055863
26,,,11,12,23,11,12,23,0,1115,0.037879
28,,,11,7,18,11,7,18,0,1115,0.109091
29,,,35,33,68,35,33,68,0,1115,0.066999
31,,,2,2,4,2,2,4,0,1115,1
32,,,6,6,12,6,6,12,0,1115,0.266667
34,,,3,3,6,3,3,6,0,1115,1
35,,,535,763,1298,535,763,1298,0,1115,0.003058
36,,,33,35,68,33,35,68,0,1115,0.0503
37,,,12,13,25,12,13,25,0,1115,0.044872
44,,,3,2,5,3,2,5,0,1115,0.333333
39,,,25,25,50,25,25,50,0,1115,0.115385
45,,,11,11,22,11,11,22,0,1115,0.038462
19,,,10,12,22,10,12,22,0,1115,0.128788
46,,,1,1,2,1,1,2,0,1115,0
47,,,2,2,4,2,2,4,0,1115,1
51,,,29,30,59,29,30,59,0,1115,0.095699
52,,,1,1,2,1,1,2,0,1115,0
53,,,2,2,4,2,2,4,0,1115,0
54,,,7,7,14,7,7,14,0,1115,0.404762
41,,,95,100,195,95,100,195,0,1115,0.058062
55,,,1,1,2,1,1,2,0,1115,0
57,,,80,59,139,80,59,139,0,1115,0.143431
61,,,9,5,14,9,5,14,0,1115,0.227273
65,,,1,1,2,1,1,2,0,1115,0
56,,,6,7,13,6,7,13,0,1115,0.547619
66,,,1,1,2,1,1,2,0,1115,0
69,,,9,7,16,9,7,16,0,1115,0.069444
70,,,6,6,12,6,6,12,0,1115,0.233333
71,,,1,1,2,1,1,2,0,1115,0
72,,,11,11,22,11,11,22,0,1115,0.106061
74,,,1,1,2,1,1,2,0,1115,0
75,,,10,7,17,10,7,17,0,1115,0.181818
68,,,5,5,10,5,5,10,0,1115,0.6
64,,,69,78,147,69,78,147,0,1115,0.043304
76,,,3,3,6,3,3,6,0,1115,1
77,,,14,21,35,14,21,35,0,1115,0.110507
78,,,10,8,18,10,8,18,0,1115,0.288889
60,,,66,63,129,66,63,129,0,1115,0.038018
79,,,1,1,2,1,1,2,0,1115,0
80,,,17,17,34,17,17,34,0,1115,0.097368
81,,,9,6,15,9,6,15,0,1115,0.152778
62,,,52,14,66,52,14,66,0,1115,0.079186
83,,,1,1,2,1,1,2,0,1115,0
104,,,54,56,110,54,56,110,0,1115,0.062842
86,,,1,1,2,1,1,2,0,1115,0
87,,,2,2,4,2,2,4,0,1115,0
89,,,2,2,4,2,2,4,0,1115,1
94,,,1,1,2,1,1,2,0,1115,0
95,,,6,6,12,6,6,12,0,1115,0.142857
96,,,37,42,79,37,42,79,0,1115,0.0964
97,,,4,4,8,4,4,8,0,1115,0
99,,,1,1,2,1,1,2,0,1115,0
88,,,6,7,13,6,7,13,0,1115,0.107143
